_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
4176,Fiscal Year 2011,UH Manoa,260502,Microbiology,College of Arts & Sciences,Natural Sciences,Microbiology,Microbiology,,Doctoral Degrees,2
4177,Fiscal Year 2012,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,12
4178,Fiscal Year 2012,Windward CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,157
4179,Fiscal Year 2012,UH Hilo,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,,,Bachelor's Degrees,16
4180,Fiscal Year 2012,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Work,,,Master's Degrees,81
4181,Fiscal Year 2012,Kapi`olani CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Associate Degrees,28
4182,Fiscal Year 2012,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Bachelor's Degrees,7
4183,Fiscal Year 2012,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Certs of Achievement,10
4184,Fiscal Year 2012,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Medicine,School of Medicine,Public Health,Public Health,,Master's Degrees,24
4185,Fiscal Year 2012,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,General Business Admin,,,Bachelor's Degrees,47
4186,Fiscal Year 2012,Honolulu CC,480508,Welding,Career & Tech Ed,Technology,Welding Technology,,,Associate Degrees,12
4187,Fiscal Year 2012,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,"Sec Education, English",,Bachelor's Degrees,14
4188,Fiscal Year 2012,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,"Sec Education, History",,Bachelor's Degrees,3
4189,Fiscal Year 2012,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Bachelor's Degrees,24
4190,Fiscal Year 2012,Hawai`i CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Architectural Eng & CAD Tech,Architectural Eng & CAD Tech,,Associate Degrees,10
4191,Fiscal Year 2012,Honolulu CC,470101,Electrical Install/Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,24
4192,Fiscal Year 2012,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Master's Degrees,9
4193,Fiscal Year 2012,UH Manoa,510602,Dental Hygiene,Schl of Nurs & Dental Hygiene,Nursing & Dental Hygiene,Dental Hygiene,,,Bachelor's Degrees,15
4194,Fiscal Year 2012,Honolulu CC,500402,Communication Arts,Career & Tech Ed,Technology,Communication Arts,Communication Arts,,Associate Degrees,17
4195,Fiscal Year 2012,Honolulu CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Tech,Automotive Technology,,Associate Degrees,13
4196,Fiscal Year 2012,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality and Tourism,,Certs of Achievement,2
4197,Fiscal Year 2012,UH Manoa,450601,Economics,College of Arts & Sciences,Social Sciences,Economics,,,Doctoral Degrees,4
4198,Fiscal Year 2012,UH Manoa,130901,Educational Foundations,College of Education,Education,Ed Foundations,Educational Foundations,,Master's Degrees,30
4199,Fiscal Year 2012,Hawai`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,1
4200,Fiscal Year 2012,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Doctoral Degrees,1
4201,Fiscal Year 2012,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Doctoral Degrees,2
4202,Fiscal Year 2012,Honolulu CC,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,Human Services,,Certs of Achievement,1
4203,Fiscal Year 2012,UH Manoa,260406,Cell/Cellular & Molecular Biol,College of Arts & Sciences,Natural Sciences,Microbiology,Molecular and Cell Biology,,Bachelor's Degrees,1
4204,Fiscal Year 2012,UH Manoa,500501,Drama & Theatre,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Theatre,,Doctoral Degrees,1
4205,Fiscal Year 2013,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Master's Degrees,15
4206,Fiscal Year 2013,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communicology,,,Bachelor's Degrees,40
4207,Fiscal Year 2013,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Marketing,,,Bachelor's Degrees,15
4208,Fiscal Year 2013,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Molecular Bioscience & Bioengr,,Doctoral Degrees,14
4209,Fiscal Year 2013,UH Manoa,141001,Electrical Engineering,College of Engineering,Engineering,Electrical Engineering,,,Doctoral Degrees,6
4210,Fiscal Year 2013,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Bachelor's Degrees,60
4211,Fiscal Year 2013,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,97
4212,Fiscal Year 2013,UH Hilo,512001,Pharmacy,College of Pharmacy,Pharmacy,Pharmacy Studies,,,Bachelor's Degrees,37
4213,Fiscal Year 2013,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Doctoral Degrees,5
4214,Fiscal Year 2013,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Medicine,School of Medicine,Public Health,Public Health,,Doctoral Degrees,5
4215,Fiscal Year 2013,Hawai`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,28
4216,Fiscal Year 2013,Hawai`i CC,050202,American Indian/Native Studies,Career & Tech Ed,Technology,Hawaiian Life Styles,,,Associate Degrees,14
4217,Fiscal Year 2013,Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,8
4218,Fiscal Year 2013,UH Manoa,050102,American Studies,College of Arts & Sciences,Arts & Humanities,American Studies,American Studies,,Doctoral Degrees,8
4219,Fiscal Year 2013,UH Manoa,260701,Zoology,College of Arts & Sciences,Natural Sciences,Zoology,,,Bachelor's Degrees,11
4220,Fiscal Year 2013,Maui College,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Certs of Achievement,2
4221,Fiscal Year 2013,Maui College,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Certs of Achievement,7
4222,Fiscal Year 2013,Honolulu CC,470201,Refrigeration & Air Cond,Career & Tech Ed,Technology,Refrigeration & Air Cond Tech,,,Certs of Achievement,7
4223,Fiscal Year 2013,Windward CC,510808,Vet/Animal Hlth Tech &Vet Asst,Career & Tech Ed,Health Services,Veterinary Assisting,,,Certs of Achievement,27
4224,Fiscal Year 2013,Hawai`i CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,1
4225,Fiscal Year 2014,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Bachelor's Degrees,94
4226,Fiscal Year 2014,UH Manoa,520201,"Business Admin & Mgmt, General",College of Business Admin,Business Administration,Mgt & Industrial Rel,Management,,Bachelor's Degrees,89
4227,Fiscal Year 2014,Leeward CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,743
4228,Fiscal Year 2014,UH Hilo,520201,"Business Admin & Mgmt, General",Col of Business & Economics,Business & Economics,Business Administration,,,Bachelor's Degrees,42
4229,Fiscal Year 2014,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Doctoral Degrees,7
4230,Fiscal Year 2014,UH Hilo,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Bachelor's Degrees,26
4231,Fiscal Year 2014,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,100
4232,Fiscal Year 2014,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics & Network Tech,,Associate Degrees,22
4233,Fiscal Year 2014,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Certs of Achievement,21
4234,Fiscal Year 2014,UH Manoa,130401,Educational Administration,College of Education,Education,Educational Administration,,,Master's Degrees,32
4235,Fiscal Year 2014,Leeward CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Tech,Automotive Mechanics Tech; Automotive Technology,,Associate Degrees,28
4236,Fiscal Year 2014,Hawai`i CC,480508,Welding,Career & Tech Ed,Technology,"Mach, Weld & Ind Mech Tech","Mach, Welding & Ind Mech Tech",,Certs of Achievement,4
4237,Fiscal Year 2014,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Master's Degrees,9
4238,Fiscal Year 2014,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Doctoral Degrees,7
4239,Fiscal Year 2014,UH Hilo,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,,,Bachelor's Degrees,12
4240,Fiscal Year 2014,UH Manoa,380201,Religion,College of Arts & Sciences,Arts & Humanities,Religion,Religion,,Bachelor's Degrees,15
4241,Fiscal Year 2014,UH Hilo,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,6
4242,Fiscal Year 2014,UH Manoa,260301,Botany,College of Arts & Sciences,Natural Sciences,Botany Program,Botany,,Doctoral Degrees,7
4243,Fiscal Year 2014,Maui College,151202,Electronics & Comp Engin Tech,Career & Tech Ed,Technology,Electronics & Comp Engin Tech,,,Associate Degrees,4
4244,Fiscal Year 2014,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Doctoral Degrees,2
4245,Fiscal Year 2014,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,8
4246,Fiscal Year 2014,UH Manoa,400404,Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Meteorology,,,Doctoral Degrees,2
4247,Fiscal Year 2014,UH Hilo,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Computer Science,,,Bachelor's Degrees,13
4248,Fiscal Year 2014,UH Manoa,260702,Entomology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Entomology,,Master's Degrees,2
4249,Fiscal Year 2014,UH Manoa,400501,"Chemistry, General",College of Arts & Sciences,Natural Sciences,Chemistry,Chemistry,,Doctoral Degrees,2
4250,Fiscal Year 2014,Kapi`olani CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,6
4251,Fiscal Year 2014,Kapi`olani CC,510601,Dental Assisting,Career & Tech Ed,Health Services,Dental Assisting,,,Certs of Achievement,4
4252,Fiscal Year 2014,Honolulu CC,470201,Refrigeration & Air Cond,Career & Tech Ed,Technology,Refrigeration & Air Cond Tech,,,Associate Degrees,16
4253,Fiscal Year 2014,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Economics & Finance,,,Bachelor's Degrees,2
4254,Fiscal Year 2014,Maui College,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Certs of Achievement,1
4255,Fiscal Year 2015,UH Manoa,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,Art,,Bachelor's Degrees,105
4256,Fiscal Year 2015,Kapi`olani CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,9
4257,Fiscal Year 2015,UH Manoa,520701,Entrepreneurship,College of Business Admin,Business Administration,Entrepreneurship,,,Bachelor's Degrees,30
4258,Fiscal Year 2015,Kapi`olani CC,190203,Consumer Merchg & Retail Mgmt,Career & Tech Ed,Business Education,Retail Management,,,Certs of Achievement,5
4259,Fiscal Year 2015,UH Hilo,230101,"English, General",College of Arts & Sciences,Arts & Humanities,English,,,Bachelor's Degrees,18
4260,Fiscal Year 2015,UH Manoa,260701,Zoology,College of Arts & Sciences,Natural Sciences,Zoology,,,Bachelor's Degrees,14
4261,Fiscal Year 2015,UH Manoa,500501,Drama & Theatre,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Theatre,,Master's Degrees,10
4262,Fiscal Year 2015,Maui College,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,243
4263,Fiscal Year 2015,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Master's Degrees,35
4264,Fiscal Year 2015,UH Manoa,160301,Chinese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Chinese,Chinese,Bachelor's Degrees,23
4265,Fiscal Year 2015,UH Hilo,050127,Japanese Studies,College of Arts & Sciences,Arts & Humanities,Japanese Studies,,,Bachelor's Degrees,14
4266,Fiscal Year 2015,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Bachelor's Degrees,16
4267,Fiscal Year 2015,UH Manoa,010901,Animal Science,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Animal Sciences,,Bachelor's Degrees,27
4268,Fiscal Year 2015,Kaua`i CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Associate Degrees,10
4269,Fiscal Year 2015,Kaua`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,3
4270,Fiscal Year 2015,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Doctoral Degrees,3
4271,Fiscal Year 2015,Maui College,520101,General Business,Career & Tech Ed,Business Education,Business Careers,Business Careers,,Associate Degrees,23
4272,Fiscal Year 2015,UH Hilo,050202,American Indian/Native Studies,Ka Haka Ula O Keelikolani,Hawaiian Lang & Lit,Hawaiian Studies,,,Bachelor's Degrees,14
4273,Fiscal Year 2015,Honolulu CC,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,Human Services,,Associate Degrees,9
4274,Fiscal Year 2015,Maui College,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Associate Degrees,16
4275,Fiscal Year 2015,Kaua`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,29
4276,Fiscal Year 2015,Maui College,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Certs of Achievement,2
4277,Fiscal Year 2015,UH Manoa,440401,Public Administration,College of Arts & Sciences,Social Sciences,Public Admin,Public Administration,,Master's Degrees,26
4278,Fiscal Year 2015,UH Manoa,131210,Early Childhood Education,College of Education,Education,Inst for Teacher Ed,Elementary Education,"Elem Education, Early Child",Bachelor's Degrees,35
4279,Fiscal Year 2015,Honolulu CC,480508,Welding,Career & Tech Ed,Technology,Welding Technology,,,Associate Degrees,19
4280,Fiscal Year 2015,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,14
4281,Fiscal Year 2015,Hawai`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,2
4282,Fiscal Year 2015,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Doctoral Degrees,2
4283,Fiscal Year 2015,Maui College,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Associate Degrees,9
4284,Fiscal Year 2015,UH Manoa,161200,Lang&Lit/Europe&Amer-Classics,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Classics,Classics,Bachelor's Degrees,1
4285,Fiscal Year 2015,Kaua`i CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,3
4286,Fiscal Year 2015,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics & Network Tech,,Certs of Achievement,6
4287,Fiscal Year 2015,Honolulu CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Tech,Automotive Mechanics Tech,,Certs of Achievement,30
4288,Fiscal Year 2015,UH Hilo,450901,International Relations,College of Arts & Sciences,Arts & Humanities,China-U.S. Relations,,,Master's Degrees,2
4289,Fiscal Year 2015,Kapi`olani CC,510601,Dental Assisting,Career & Tech Ed,Health Services,Dental Assisting,,,Certs of Achievement,3
4290,Fiscal Year 2015,Hawai`i CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Architectural Eng & CAD Tech,Architectural Eng & CAD Tech,,Associate Degrees,2
4291,Fiscal Year 2015,UH Manoa,190504,Human Nutrition,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Nutrition,,Doctoral Degrees,2
4292,Fiscal Year 2015,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Earth Science",Bachelor's Degrees,1
4293,Fiscal Year 2016,UH Hilo,310505,Exercise & Sports Science,College of Arts & Sciences,Social Sciences,Kinesiology & Exercise Science,,,Bachelor's Degrees,56
4294,Fiscal Year 2016,UH Hilo,400501,"Chemistry, General",College of Arts & Sciences,Natural Sciences,Chemistry,,,Bachelor's Degrees,7
4295,Fiscal Year 2016,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Psychology,,,Bachelor's Degrees,49
4296,Fiscal Year 2016,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Master's Degrees,12
4297,Fiscal Year 2016,UH Manoa,270101,"Mathematics, General",College of Arts & Sciences,Natural Sciences,Mathematics,,,Bachelor's Degrees,31
4298,Fiscal Year 2016,UH Manoa,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Computer Science,,Bachelor's Degrees,40
